Key,Summary,Primary-Team,FY-25,FY-26,FY-27,FY-28,FY-29,Risk-Impact,Risk-Likelihood,risk-exposure-score,IP-Platform-Scope,MSI_Covered _Yes_No
TTRD-561,Play out and distribution -processing [Snell/Axon/Cerebrum],Broadcast & Media,,750000,600000,,,3,4,12,MayBe,Yes
TTRD-560,Studio and NTC[Snell/Axon/Cerebrum] Processing,Broadcast & Media,,750000,600000,,,3,4,12,No,No
TTRD-315,Media Book SQL Server Upgrade,Application & Support,,,,,,4,4,16,No,No
TTRD-314,Vfire Upgrade,Application & Support,,,,,,4,4,16,MayBe,Yes
TTRD-309,Observability across endpoints,Digital-Squads,,60000,,,,4,3,12,MayBe,Yes
TTRD-308,CTV Framework Upgrade,Digital-Squads,1200000,,,,,5,5,25,Yes,Yes
TTRD-306,Commission Website & Enterprise CMS,Digital-Squads,30000,,,,,4,4,16,No,No
TTRD-301,DTT/DTH Transmission Headend Encoders,Broadcast & Media,350000,,,,,4,4,16,Yes,Yes
TTRD-300,FY25-FY29 Hardware Lifecycle - BASS,Broadcast & Media,131000,175000,125000,125000,125000,4,3,12,MayBe,Yes
TTRD-299,Auckland NCA Camera Fleet ,Broadcast & Media,350000,100000,,,,4,4,16,Adjacent,No
TTRD-296,FY25-FY29 Hardware Lifecycle refresh - End user compute,Application & Support,1009000,,,,,5,2,10,Yes,Yes
TTRD-295,News DR Cloud Edit System,Broadcast & Media,50000,,,,,5,2,10,MayBe,No
TTRD-276,WGN DR Enterprise App migration to Cloud,Infrastructure,,160000,,,,3,3,9,MayBe,Yes
TTRD-272,FY25-FY29 - Cyber Security Initiatives,Infrastructure,438000,913633,438000,438000,438000,5,4,20,Yes,Yes
TTRD-271,Enterprise wide integration platform,Digital-Squads,,300000,80000,,,4,3,12,MayBe,Yes
TTRD-159,DB Upgrade for unsupported SQL Server (EOS),Digital-Squads,,200000,,,,5,4,20,No,No
TTRD-158,Activate Upgrade,Infrastructure,80000,,,,,3,3,9,MayBe,Yes
TTRD-157,EDR (AntiVirus) Software Managed Service,Infrastructure,531202,,,,,4,3,12,MayBe,Yes
TTRD-156,SAN (storage area network) Switch replacement,Infrastructure,185000,,,,,3,3,9,Yes,Yes
TTRD-155,Windows Desktop SOE Upgrade,Infrastructure,65000,,,,,3,3,9,Yes,Yes
TTRD-154,MS Exchange Hybrid Server Upgrade/Re-platform,Infrastructure,,120000,,,,3,3,9,MayBe,No
TTRD-153,Citrix Software Upgrade,Infrastructure,,50000,,,,3,3,9,Yes,Yes
TTRD-152,Backup Software Upgrade,Infrastructure,,70000,,,,3,3,9,Yes,Yes
TTRD-150,Viz Hardware replacement (IP),Infrastructure,47500,49000,,,,4,3,12,Yes,No
TTRD-149,FY26 Server Hardware Lifecycle,Infrastructure,,80000,,,,3,3,9,Yes,Yes
TTRD-148,FY25-FY29 Hardware Lifecycle - Infra & Networks,Infrastructure,286000,558921,330210,184000,535000,4,3,12,MayBe,Yes
