Key,Summary,Primary-Team,FY-25,FY-26,FY-27,FY-28,FY-29,Risk-Impact,Risk-Likelihood,risk-exposure-score,IP-Platform-Scope,MSI_Covered _Yes_No,Type-Of-Initiative
TTRD-315,Media Book SQL Server Upgrade,Application & Support,,,,,,4,4,16.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-314,Vfire Upgrade,Application & Support,,,,,,4,4,16.0,MayBe,Yes,Risk-Tech-Debt_TVNZ
TTRD-296,FY25-FY29 Hardware Lifecycle refresh - EUC,Application & Support,1009000.0,1959646.0,1025300.0,470042.0,1380811.0,5,2,10.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-123,ScheduALL - Replacement as current system EOS,Application & Support,200000.0,,,,,3,4,12.0,MayBe,No,Risk-Tech-Debt_TVNZ
TTRD-119,Dealnet - Strategical Solution,Application & Support,50000.0,,,,,3,3,9.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-115,Car Park application solution,Application & Support,,10000.0,,,,2,3,6.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-566,Consolidate - Video Platforms - BrightCove/Mediakind,Digital-Squads,200000.0,1000000.0,,,,5,5,25.0,Yes,Yes,Risk-Tech-Debt
TTRD-309,Observability across endpoints,Digital-Squads,,60000.0,,,,4,3,12.0,MayBe,Yes,Risk-Tech-Debt
TTRD-308,CTV Framework Upgrade,Digital-Squads,400000.0,800000.0,,,,3,5,15.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-306,Commission Website & Enterprise CMS,Digital-Squads,,30000.0,,,,2,2,4.0,No,No,Risk-Tech-Debt
TTRD-271,Enterprise wide integration platform,Digital-Squads,,,500000.0,,,3,3,9.0,MayBe,Yes,Risk-Tech-Debt
TTRD-261,Play API Microservices,Digital-Squads,400000.0,800000.0,,,,5,4,20.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-159,DB Upgrade for unsupported SQL servers( EOS),Digital-Squads,,200000.0,,,,5,4,20.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-40,Auth0 - Technical strategy,Digital-Squads,,200000.0,,,,4,3,12.0,MayBe,Yes,Risk-Tech-Debt
TTRD-561,Play out & distribution processing [Snell/Axon/Cerebrum],Broadcast & Media,,,750000.0,600000.0,,3,4,12.0,MayBe,Yes,Risk-Tech-Debt_TVNZ
TTRD-560,Studio and NTC - Snell/Axon/Cerebrum] Processing,Broadcast & Media,,,750000.0,600000.0,,3,4,12.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-301,DTT/DTH Transmission Headend Encoders,Broadcast & Media,,350000.0,,,,4,4,16.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-300,FY25-FY29 Hardware Lifecycle - BASS,Broadcast & Media,131000.0,175000.0,125000.0,125000.0,125000.0,3,4,12.0,MayBe,Yes,Risk-Tech-Debt_TVNZ
TTRD-299,Auckland NCA Camera Fleet ,Broadcast & Media,350000.0,100000.0,,,,4,4,16.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-295,News DR Cloud Edit System,Broadcast & Media,50000.0,,,,,5,2,10.0,MayBe,No,Risk-Tech-Debt_TVNZ
TTRD-106,AVID - 8 Airspeeds (Live Record/Replay) ,Broadcast & Media,1000000.0,300000.0,,,,4,3,12.0,MayBe,No,Risk-Tech-Debt_TVNZ
TTRD-103,Distribution Router (SDI) (IP),Broadcast & Media,,,50000.0,,,5,3,15.0,Yes,No,Risk-Tech-Debt_TVNZ
TTRD-102,Oracle DB - Viz one / MAM Inc upgrade,Broadcast & Media,,250000.0,,,,4,3,12.0,Yes,No,Risk-Tech-Debt_TVNZ
TTRD-98,Studio 3 audio Mixer - Calrec,Broadcast & Media,,,,750000.0,250000.0,3,2,6.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-97,Studio 4 Audio Mixer - Calrec,Broadcast & Media,,,,1000000.0,500000.0,3,2,6.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-96,Upgrade TVC Signal Pulse Generators (SPGs),Broadcast & Media,,200000.0,,,,2,1,2.0,Yes,No,Risk-Tech-Debt_TVNZ
TTRD-95,PDC Multiviews - Miranda Kaleido Replacement ,Broadcast & Media,,400000.0,,,,4,4,16.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-93,Transcode replacement (IP),Broadcast & Media,,250000.0,,,,4,3,12.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-92,"Transmission Router - Cygnus TV1,2 & Duke ",Broadcast & Media,,1500000.0,,,,5,3,15.0,Yes,No,Risk-Tech-Debt_TVNZ
